,coefficients,replicate,pval,treatment_site
treatment20C...50,-0.513883967,8,1.57E-99,treatment20C
siteCI5...51,NA,8,NA,siteCI5
siteDB...52,NA,8,NA,siteDB
sitePW...53,NA,8,NA,sitePW
treatment20C:siteCI5...54,NA,8,NA,treatment20C:siteCI5
treatment20C:siteDB...55,NA,8,NA,treatment20C:siteDB
treatment20C:sitePW...56,NA,8,NA,treatment20C:sitePW
treatment20C...57,-0.491809907,9,4.42E-92,treatment20C
siteCI5...58,NA,9,NA,siteCI5
siteDB...59,NA,9,NA,siteDB
sitePW...60,NA,9,NA,sitePW
treatment20C:siteCI5...61,NA,9,NA,treatment20C:siteCI5
treatment20C:siteDB...62,NA,9,NA,treatment20C:siteDB
treatment20C:sitePW...63,NA,9,NA,treatment20C:sitePW
treatment20C...64,-0.318181429,10,3.24E-37,treatment20C
siteCI5...65,NA,10,NA,siteCI5
siteDB...66,NA,10,NA,siteDB
sitePW...67,NA,10,NA,sitePW
treatment20C:siteCI5...68,NA,10,NA,treatment20C:siteCI5
treatment20C:siteDB...69,NA,10,NA,treatment20C:siteDB
treatment20C:sitePW...70,NA,10,NA,treatment20C:sitePW
treatment20C...71,-0.309022446,11,4.14E-40,treatment20C
siteCI5...72,NA,11,NA,siteCI5
siteDB...73,NA,11,NA,siteDB
sitePW...74,NA,11,NA,sitePW
treatment20C:siteCI5...75,NA,11,NA,treatment20C:siteCI5
treatment20C:siteDB...76,NA,11,NA,treatment20C:siteDB
treatment20C:sitePW...77,NA,11,NA,treatment20C:sitePW
treatment20C...78,-0.756849037,12,3.37E-205,treatment20C
siteCI5...79,NA,12,NA,siteCI5
siteDB...80,NA,12,NA,siteDB
sitePW...81,NA,12,NA,sitePW
treatment20C:siteCI5...82,NA,12,NA,treatment20C:siteCI5
treatment20C:siteDB...83,NA,12,NA,treatment20C:siteDB
treatment20C:sitePW...84,NA,12,NA,treatment20C:sitePW
treatment20C...85,-0.369681355,13,9.27E-57,treatment20C
siteCI5...86,NA,13,NA,siteCI5
siteDB...87,NA,13,NA,siteDB
sitePW...88,NA,13,NA,sitePW
treatment20C:siteCI5...89,NA,13,NA,treatment20C:siteCI5
treatment20C:siteDB...90,NA,13,NA,treatment20C:siteDB
treatment20C:sitePW...91,NA,13,NA,treatment20C:sitePW
treatment20C...92,-0.389663832,14,2.36E-54,treatment20C
siteCI5...93,NA,14,NA,siteCI5
siteDB...94,NA,14,NA,siteDB
sitePW...95,NA,14,NA,sitePW
treatment20C:siteCI5...96,NA,14,NA,treatment20C:siteCI5
treatment20C:siteDB...97,NA,14,NA,treatment20C:siteDB
treatment20C:sitePW...98,NA,14,NA,treatment20C:sitePW
treatment20C...99,-0.625998023,15,3.08E-153,treatment20C
siteCI5...100,NA,15,NA,siteCI5
siteDB...101,NA,15,NA,siteDB
sitePW...102,NA,15,NA,sitePW
treatment20C:siteCI5...103,NA,15,NA,treatment20C:siteCI5
treatment20C:siteDB...104,NA,15,NA,treatment20C:siteDB
treatment20C:sitePW...105,NA,15,NA,treatment20C:sitePW
treatment20C...106,-0.433316001,16,1.26E-67,treatment20C
siteCI5...107,NA,16,NA,siteCI5
siteDB...108,NA,16,NA,siteDB
sitePW...109,NA,16,NA,sitePW
treatment20C:siteCI5...110,NA,16,NA,treatment20C:siteCI5
treatment20C:siteDB...111,NA,16,NA,treatment20C:siteDB
treatment20C:sitePW...112,NA,16,NA,treatment20C:sitePW
treatment20C...113,-0.520562641,17,1.58E-89,treatment20C
siteCI5...114,NA,17,NA,siteCI5
siteDB...115,NA,17,NA,siteDB
sitePW...116,NA,17,NA,sitePW
treatment20C:siteCI5...117,NA,17,NA,treatment20C:siteCI5
treatment20C:siteDB...118,NA,17,NA,treatment20C:siteDB
treatment20C:sitePW...119,NA,17,NA,treatment20C:sitePW
treatment20C...120,-0.423631567,18,1.25E-62,treatment20C
siteCI5...121,NA,18,NA,siteCI5
siteDB...122,NA,18,NA,siteDB
sitePW...123,NA,18,NA,sitePW
treatment20C:siteCI5...124,NA,18,NA,treatment20C:siteCI5
treatment20C:siteDB...125,NA,18,NA,treatment20C:siteDB
treatment20C:sitePW...126,NA,18,NA,treatment20C:sitePW
treatment20C...127,-0.457621722,19,4.93E-83,treatment20C
siteCI5...128,NA,19,NA,siteCI5
siteDB...129,NA,19,NA,siteDB
sitePW...130,NA,19,NA,sitePW
treatment20C:siteCI5...131,NA,19,NA,treatment20C:siteCI5
treatment20C:siteDB...132,NA,19,NA,treatment20C:siteDB
treatment20C:sitePW...133,NA,19,NA,treatment20C:sitePW
treatment20C...134,-0.387738106,20,1.20E-65,treatment20C
siteCI5...135,NA,20,NA,siteCI5
siteDB...136,NA,20,NA,siteDB
sitePW...137,NA,20,NA,sitePW
treatment20C:siteCI5...138,NA,20,NA,treatment20C:siteCI5
treatment20C:siteDB...139,NA,20,NA,treatment20C:siteDB
treatment20C:sitePW...140,NA,20,NA,treatment20C:sitePW
treatment20C...141,-0.294025615,21,3.67E-31,treatment20C
siteCI5...142,NA,21,NA,siteCI5
siteDB...143,NA,21,NA,siteDB
sitePW...144,NA,21,NA,sitePW
treatment20C:siteCI5...145,NA,21,NA,treatment20C:siteCI5
treatment20C:siteDB...146,NA,21,NA,treatment20C:siteDB
treatment20C:sitePW...147,NA,21,NA,treatment20C:sitePW
treatment20C...148,-0.323884843,22,4.32E-42,treatment20C
siteCI5...149,NA,22,NA,siteCI5
siteDB...150,NA,22,NA,siteDB
sitePW...151,NA,22,NA,sitePW
treatment20C:siteCI5...152,NA,22,NA,treatment20C:siteCI5
treatment20C:siteDB...153,NA,22,NA,treatment20C:siteDB
treatment20C:sitePW...154,NA,22,NA,treatment20C:sitePW
treatment20C...155,-0.340019591,23,5.31E-43,treatment20C
siteCI5...156,NA,23,NA,siteCI5
siteDB...157,NA,23,NA,siteDB
sitePW...158,NA,23,NA,sitePW
treatment20C:siteCI5...159,NA,23,NA,treatment20C:siteCI5
treatment20C:siteDB...160,NA,23,NA,treatment20C:siteDB
treatment20C:sitePW...161,NA,23,NA,treatment20C:sitePW
treatment20C...162,-0.456071238,24,6.29E-83,treatment20C
siteCI5...163,NA,24,NA,siteCI5
siteDB...164,NA,24,NA,siteDB
sitePW...165,NA,24,NA,sitePW
treatment20C:siteCI5...166,NA,24,NA,treatment20C:siteCI5
treatment20C:siteDB...167,NA,24,NA,treatment20C:siteDB
treatment20C:sitePW...168,NA,24,NA,treatment20C:sitePW
treatment20C...169,-0.335758437,25,1.90E-46,treatment20C
siteCI5...170,NA,25,NA,siteCI5
siteDB...171,NA,25,NA,siteDB
sitePW...172,NA,25,NA,sitePW
treatment20C:siteCI5...173,NA,25,NA,treatment20C:siteCI5
treatment20C:siteDB...174,NA,25,NA,treatment20C:siteDB
treatment20C:sitePW...175,NA,25,NA,treatment20C:sitePW
treatment20C...176,-0.471479656,26,1.23E-89,treatment20C
siteCI5...177,NA,26,NA,siteCI5
siteDB...178,NA,26,NA,siteDB
sitePW...179,NA,26,NA,sitePW
treatment20C:siteCI5...180,NA,26,NA,treatment20C:siteCI5
treatment20C:siteDB...181,NA,26,NA,treatment20C:siteDB
treatment20C:sitePW...182,NA,26,NA,treatment20C:sitePW
treatment20C...183,-0.301527273,27,1.87E-36,treatment20C
siteCI5...184,NA,27,NA,siteCI5
siteDB...185,NA,27,NA,siteDB
sitePW...186,NA,27,NA,sitePW
treatment20C:siteCI5...187,NA,27,NA,treatment20C:siteCI5
treatment20C:siteDB...188,NA,27,NA,treatment20C:siteDB
treatment20C:sitePW...189,NA,27,NA,treatment20C:sitePW
treatment20C...190,-0.347550665,28,3.70E-45,treatment20C
siteCI5...191,NA,28,NA,siteCI5
siteDB...192,NA,28,NA,siteDB
sitePW...193,NA,28,NA,sitePW
treatment20C:siteCI5...194,NA,28,NA,treatment20C:siteCI5
treatment20C:siteDB...195,NA,28,NA,treatment20C:siteDB
treatment20C:sitePW...196,NA,28,NA,treatment20C:sitePW
treatment20C...197,-0.452165951,29,4.25E-76,treatment20C
siteCI5...198,NA,29,NA,siteCI5
siteDB...199,NA,29,NA,siteDB
sitePW...200,NA,29,NA,sitePW
treatment20C:siteCI5...201,NA,29,NA,treatment20C:siteCI5
treatment20C:siteDB...202,NA,29,NA,treatment20C:siteDB
treatment20C:sitePW...203,NA,29,NA,treatment20C:sitePW
treatment20C...204,-0.525248543,30,2.29E-99,treatment20C
siteCI5...205,NA,30,NA,siteCI5
siteDB...206,NA,30,NA,siteDB
sitePW...207,NA,30,NA,sitePW
treatment20C:siteCI5...208,NA,30,NA,treatment20C:siteCI5
treatment20C:siteDB...209,NA,30,NA,treatment20C:siteDB
treatment20C:sitePW...210,NA,30,NA,treatment20C:sitePW
treatment20C...211,-0.515091313,31,9.15E-96,treatment20C
siteCI5...212,NA,31,NA,siteCI5
siteDB...213,NA,31,NA,siteDB
sitePW...214,NA,31,NA,sitePW
treatment20C:siteCI5...215,NA,31,NA,treatment20C:siteCI5
treatment20C:siteDB...216,NA,31,NA,treatment20C:siteDB
treatment20C:sitePW...217,NA,31,NA,treatment20C:sitePW
treatment20C...218,-0.343003402,32,2.00E-53,treatment20C
siteCI5...219,NA,32,NA,siteCI5
siteDB...220,NA,32,NA,siteDB
sitePW...221,NA,32,NA,sitePW
treatment20C:siteCI5...222,NA,32,NA,treatment20C:siteCI5
treatment20C:siteDB...223,NA,32,NA,treatment20C:siteDB
treatment20C:sitePW...224,NA,32,NA,treatment20C:sitePW
treatment20C...225,-0.512500886,33,1.88E-95,treatment20C
siteCI5...226,NA,33,NA,siteCI5
siteDB...227,NA,33,NA,siteDB
sitePW...228,NA,33,NA,sitePW
treatment20C:siteCI5...229,NA,33,NA,treatment20C:siteCI5
treatment20C:siteDB...230,NA,33,NA,treatment20C:siteDB
treatment20C:sitePW...231,NA,33,NA,treatment20C:sitePW
treatment20C...232,-0.440755903,34,4.45E-75,treatment20C
siteCI5...233,NA,34,NA,siteCI5
siteDB...234,NA,34,NA,siteDB
sitePW...235,NA,34,NA,sitePW
treatment20C:siteCI5...236,NA,34,NA,treatment20C:siteCI5
treatment20C:siteDB...237,NA,34,NA,treatment20C:siteDB
treatment20C:sitePW...238,NA,34,NA,treatment20C:sitePW
treatment20C...239,-0.479401993,35,2.85E-97,treatment20C
siteCI5...240,NA,35,NA,siteCI5
siteDB...241,NA,35,NA,siteDB
sitePW...242,NA,35,NA,sitePW
treatment20C:siteCI5...243,NA,35,NA,treatment20C:siteCI5
treatment20C:siteDB...244,NA,35,NA,treatment20C:siteDB
treatment20C:sitePW...245,NA,35,NA,treatment20C:sitePW
treatment20C...246,-0.589625839,36,2.96E-133,treatment20C
siteCI5...247,NA,36,NA,siteCI5
siteDB...248,NA,36,NA,siteDB
sitePW...249,NA,36,NA,sitePW
treatment20C:siteCI5...250,NA,36,NA,treatment20C:siteCI5
treatment20C:siteDB...251,NA,36,NA,treatment20C:siteDB
treatment20C:sitePW...252,NA,36,NA,treatment20C:sitePW
treatment20C...253,-0.502653235,37,1.20E-100,treatment20C
siteCI5...254,NA,37,NA,siteCI5
siteDB...255,NA,37,NA,siteDB
sitePW...256,NA,37,NA,sitePW
treatment20C:siteCI5...257,NA,37,NA,treatment20C:siteCI5
treatment20C:siteDB...258,NA,37,NA,treatment20C:siteDB
treatment20C:sitePW...259,NA,37,NA,treatment20C:sitePW
treatment20C...260,-0.440332957,38,5.56E-73,treatment20C
siteCI5...261,NA,38,NA,siteCI5
siteDB...262,NA,38,NA,siteDB
sitePW...263,NA,38,NA,sitePW
treatment20C:siteCI5...264,NA,38,NA,treatment20C:siteCI5
treatment20C:siteDB...265,NA,38,NA,treatment20C:siteDB
treatment20C:sitePW...266,NA,38,NA,treatment20C:sitePW
treatment20C...267,-0.389423631,39,2.77E-54,treatment20C
siteCI5...268,NA,39,NA,siteCI5
siteDB...269,NA,39,NA,siteDB
sitePW...270,NA,39,NA,sitePW
treatment20C:siteCI5...271,NA,39,NA,treatment20C:siteCI5
treatment20C:siteDB...272,NA,39,NA,treatment20C:siteDB
treatment20C:sitePW...273,NA,39,NA,treatment20C:sitePW
treatment20C...274,-0.584624853,40,8.01E-124,treatment20C
siteCI5...275,NA,40,NA,siteCI5
siteDB...276,NA,40,NA,siteDB
sitePW...277,NA,40,NA,sitePW
treatment20C:siteCI5...278,NA,40,NA,treatment20C:siteCI5
treatment20C:siteDB...279,NA,40,NA,treatment20C:siteDB
treatment20C:sitePW...280,NA,40,NA,treatment20C:sitePW
treatment20C...281,-0.48285985,41,1.28E-89,treatment20C
siteCI5...282,NA,41,NA,siteCI5
siteDB...283,NA,41,NA,siteDB
sitePW...284,NA,41,NA,sitePW
treatment20C:siteCI5...285,NA,41,NA,treatment20C:siteCI5
treatment20C:siteDB...286,NA,41,NA,treatment20C:siteDB
treatment20C:sitePW...287,NA,41,NA,treatment20C:sitePW
treatment20C...288,-0.61824643,42,2.28E-129,treatment20C
siteCI5...289,NA,42,NA,siteCI5
siteDB...290,NA,42,NA,siteDB
sitePW...291,NA,42,NA,sitePW
treatment20C:siteCI5...292,NA,42,NA,treatment20C:siteCI5
treatment20C:siteDB...293,NA,42,NA,treatment20C:siteDB
treatment20C:sitePW...294,NA,42,NA,treatment20C:sitePW
treatment20C...295,-0.372224542,43,1.81E-53,treatment20C
siteCI5...296,NA,43,NA,siteCI5
siteDB...297,NA,43,NA,siteDB
sitePW...298,NA,43,NA,sitePW
treatment20C:siteCI5...299,NA,43,NA,treatment20C:siteCI5
treatment20C:siteDB...300,NA,43,NA,treatment20C:siteDB
treatment20C:sitePW...301,NA,43,NA,treatment20C:sitePW
treatment20C...302,-0.284261584,44,2.32E-32,treatment20C
siteCI5...303,NA,44,NA,siteCI5
siteDB...304,NA,44,NA,siteDB
sitePW...305,NA,44,NA,sitePW
treatment20C:siteCI5...306,NA,44,NA,treatment20C:siteCI5
treatment20C:siteDB...307,NA,44,NA,treatment20C:siteDB
treatment20C:sitePW...308,NA,44,NA,treatment20C:sitePW
treatment20C...309,-0.446439339,45,5.57E-82,treatment20C
siteCI5...310,NA,45,NA,siteCI5
siteDB...311,NA,45,NA,siteDB
sitePW...312,NA,45,NA,sitePW
treatment20C:siteCI5...313,NA,45,NA,treatment20C:siteCI5
treatment20C:siteDB...314,NA,45,NA,treatment20C:siteDB
treatment20C:sitePW...315,NA,45,NA,treatment20C:sitePW
treatment20C...316,-0.487985008,46,3.23E-90,treatment20C
siteCI5...317,NA,46,NA,siteCI5
siteDB...318,NA,46,NA,siteDB
sitePW...319,NA,46,NA,sitePW
treatment20C:siteCI5...320,NA,46,NA,treatment20C:siteCI5
treatment20C:siteDB...321,NA,46,NA,treatment20C:siteDB
treatment20C:sitePW...322,NA,46,NA,treatment20C:sitePW
treatment20C...323,-0.427237054,47,2.57E-68,treatment20C
siteCI5...324,NA,47,NA,siteCI5
siteDB...325,NA,47,NA,siteDB
sitePW...326,NA,47,NA,sitePW
treatment20C:siteCI5...327,NA,47,NA,treatment20C:siteCI5
treatment20C:siteDB...328,NA,47,NA,treatment20C:siteDB
treatment20C:sitePW...329,NA,47,NA,treatment20C:sitePW
treatment20C...330,-0.500239585,48,3.65E-91,treatment20C
siteCI5...331,NA,48,NA,siteCI5
siteDB...332,NA,48,NA,siteDB
sitePW...333,NA,48,NA,sitePW
treatment20C:siteCI5...334,NA,48,NA,treatment20C:siteCI5
treatment20C:siteDB...335,NA,48,NA,treatment20C:siteDB
treatment20C:sitePW...336,NA,48,NA,treatment20C:sitePW
treatment20C...337,-0.430956017,49,3.20E-70,treatment20C
siteCI5...338,NA,49,NA,siteCI5
siteDB...339,NA,49,NA,siteDB
sitePW...340,NA,49,NA,sitePW
treatment20C:siteCI5...341,NA,49,NA,treatment20C:siteCI5
treatment20C:siteDB...342,NA,49,NA,treatment20C:siteDB
treatment20C:sitePW...343,NA,49,NA,treatment20C:sitePW
treatment20C...344,-0.503810087,50,2.87E-92,treatment20C
siteCI5...345,NA,50,NA,siteCI5
siteDB...346,NA,50,NA,siteDB
sitePW...347,NA,50,NA,sitePW
treatment20C:siteCI5...348,NA,50,NA,treatment20C:siteCI5
treatment20C:siteDB...349,NA,50,NA,treatment20C:siteDB
treatment20C:sitePW...350,NA,50,NA,treatment20C:sitePW
treatment20C...351,-0.666913892,51,3.87E-159,treatment20C
siteCI5...352,NA,51,NA,siteCI5
siteDB...353,NA,51,NA,siteDB
sitePW...354,NA,51,NA,sitePW
treatment20C:siteCI5...355,NA,51,NA,treatment20C:siteCI5
treatment20C:siteDB...356,NA,51,NA,treatment20C:siteDB
treatment20C:sitePW...357,NA,51,NA,treatment20C:sitePW
treatment20C...358,-0.462001402,52,2.18E-85,treatment20C
siteCI5...359,NA,52,NA,siteCI5
siteDB...360,NA,52,NA,siteDB
sitePW...361,NA,52,NA,sitePW
treatment20C:siteCI5...362,NA,52,NA,treatment20C:siteCI5
treatment20C:siteDB...363,NA,52,NA,treatment20C:siteDB
treatment20C:sitePW...364,NA,52,NA,treatment20C:sitePW
treatment20C...365,-0.6376706,53,3.15E-147,treatment20C
siteCI5...366,NA,53,NA,siteCI5
siteDB...367,NA,53,NA,siteDB
sitePW...368,NA,53,NA,sitePW
treatment20C:siteCI5...369,NA,53,NA,treatment20C:siteCI5
treatment20C:siteDB...370,NA,53,NA,treatment20C:siteDB
treatment20C:sitePW...371,NA,53,NA,treatment20C:sitePW
treatment20C...372,-0.546812461,54,1.28E-106,treatment20C
siteCI5...373,NA,54,NA,siteCI5
siteDB...374,NA,54,NA,siteDB
sitePW...375,NA,54,NA,sitePW
treatment20C:siteCI5...376,NA,54,NA,treatment20C:siteCI5
treatment20C:siteDB...377,NA,54,NA,treatment20C:siteDB
treatment20C:sitePW...378,NA,54,NA,treatment20C:sitePW
treatment20C...379,-0.53268534,55,5.91E-105,treatment20C
siteCI5...380,NA,55,NA,siteCI5
siteDB...381,NA,55,NA,siteDB
sitePW...382,NA,55,NA,sitePW
treatment20C:siteCI5...383,NA,55,NA,treatment20C:siteCI5
treatment20C:siteDB...384,NA,55,NA,treatment20C:siteDB
treatment20C:sitePW...385,NA,55,NA,treatment20C:sitePW
treatment20C...386,-0.528317221,56,2.85E-89,treatment20C
siteCI5...387,NA,56,NA,siteCI5
siteDB...388,NA,56,NA,siteDB
sitePW...389,NA,56,NA,sitePW
treatment20C:siteCI5...390,NA,56,NA,treatment20C:siteCI5
treatment20C:siteDB...391,NA,56,NA,treatment20C:siteDB
treatment20C:sitePW...392,NA,56,NA,treatment20C:sitePW
treatment20C...393,-0.521823348,57,1.82E-111,treatment20C
siteCI5...394,NA,57,NA,siteCI5
siteDB...395,NA,57,NA,siteDB
sitePW...396,NA,57,NA,sitePW
treatment20C:siteCI5...397,NA,57,NA,treatment20C:siteCI5
treatment20C:siteDB...398,NA,57,NA,treatment20C:siteDB
treatment20C:sitePW...399,NA,57,NA,treatment20C:sitePW
treatment20C...400,-0.262169185,58,1.86E-26,treatment20C
siteCI5...401,NA,58,NA,siteCI5
siteDB...402,NA,58,NA,siteDB
sitePW...403,NA,58,NA,sitePW
treatment20C:siteCI5...404,NA,58,NA,treatment20C:siteCI5
treatment20C:siteDB...405,NA,58,NA,treatment20C:siteDB
treatment20C:sitePW...406,NA,58,NA,treatment20C:sitePW
treatment20C...407,-0.421765347,59,8.19E-64,treatment20C
siteCI5...408,NA,59,NA,siteCI5
siteDB...409,NA,59,NA,siteDB
sitePW...410,NA,59,NA,sitePW
treatment20C:siteCI5...411,NA,59,NA,treatment20C:siteCI5
treatment20C:siteDB...412,NA,59,NA,treatment20C:siteDB
treatment20C:sitePW...413,NA,59,NA,treatment20C:sitePW
treatment20C...414,-0.28548259,60,3.75E-34,treatment20C
siteCI5...415,NA,60,NA,siteCI5
siteDB...416,NA,60,NA,siteDB
sitePW...417,NA,60,NA,sitePW
treatment20C:siteCI5...418,NA,60,NA,treatment20C:siteCI5
treatment20C:siteDB...419,NA,60,NA,treatment20C:siteDB
treatment20C:sitePW...420,NA,60,NA,treatment20C:sitePW
treatment20C...421,-0.240327428,61,2.09E-22,treatment20C
siteCI5...422,NA,61,NA,siteCI5
siteDB...423,NA,61,NA,siteDB
sitePW...424,NA,61,NA,sitePW
treatment20C:siteCI5...425,NA,61,NA,treatment20C:siteCI5
treatment20C:siteDB...426,NA,61,NA,treatment20C:siteDB
treatment20C:sitePW...427,NA,61,NA,treatment20C:sitePW
treatment20C...428,-0.541630608,62,8.04E-105,treatment20C
siteCI5...429,NA,62,NA,siteCI5
siteDB...430,NA,62,NA,siteDB
sitePW...431,NA,62,NA,sitePW
treatment20C:siteCI5...432,NA,62,NA,treatment20C:siteCI5
treatment20C:siteDB...433,NA,62,NA,treatment20C:siteDB
treatment20C:sitePW...434,NA,62,NA,treatment20C:sitePW
treatment20C...435,-0.567868393,63,9.41E-115,treatment20C
siteCI5...436,NA,63,NA,siteCI5
siteDB...437,NA,63,NA,siteDB
sitePW...438,NA,63,NA,sitePW
treatment20C:siteCI5...439,NA,63,NA,treatment20C:siteCI5
treatment20C:siteDB...440,NA,63,NA,treatment20C:siteDB
treatment20C:sitePW...441,NA,63,NA,treatment20C:sitePW
treatment20C...442,-0.262168312,64,8.33E-27,treatment20C
siteCI5...443,NA,64,NA,siteCI5
siteDB...444,NA,64,NA,siteDB
sitePW...445,NA,64,NA,sitePW
treatment20C:siteCI5...446,NA,64,NA,treatment20C:siteCI5
treatment20C:siteDB...447,NA,64,NA,treatment20C:siteDB
treatment20C:sitePW...448,NA,64,NA,treatment20C:sitePW
treatment20C...449,-0.312418638,65,1.65E-36,treatment20C
siteCI5...450,NA,65,NA,siteCI5
siteDB...451,NA,65,NA,siteDB
sitePW...452,NA,65,NA,sitePW
treatment20C:siteCI5...453,NA,65,NA,treatment20C:siteCI5
treatment20C:siteDB...454,NA,65,NA,treatment20C:siteDB
treatment20C:sitePW...455,NA,65,NA,treatment20C:sitePW
treatment20C...456,-0.54056744,66,5.53E-104,treatment20C
siteCI5...457,NA,66,NA,siteCI5
siteDB...458,NA,66,NA,siteDB
sitePW...459,NA,66,NA,sitePW
treatment20C:siteCI5...460,NA,66,NA,treatment20C:siteCI5
treatment20C:siteDB...461,NA,66,NA,treatment20C:siteDB
treatment20C:sitePW...462,NA,66,NA,treatment20C:sitePW
treatment20C...463,-0.550327487,67,1.15E-100,treatment20C
siteCI5...464,NA,67,NA,siteCI5
siteDB...465,NA,67,NA,siteDB
sitePW...466,NA,67,NA,sitePW
treatment20C:siteCI5...467,NA,67,NA,treatment20C:siteCI5
treatment20C:siteDB...468,NA,67,NA,treatment20C:siteDB
treatment20C:sitePW...469,NA,67,NA,treatment20C:sitePW
treatment20C...470,-0.481646428,68,2.40E-80,treatment20C
siteCI5...471,NA,68,NA,siteCI5
siteDB...472,NA,68,NA,siteDB
sitePW...473,NA,68,NA,sitePW
treatment20C:siteCI5...474,NA,68,NA,treatment20C:siteCI5
treatment20C:siteDB...475,NA,68,NA,treatment20C:siteDB
treatment20C:sitePW...476,NA,68,NA,treatment20C:sitePW
treatment20C...477,-0.562109483,69,1.46E-105,treatment20C
siteCI5...478,NA,69,NA,siteCI5
siteDB...479,NA,69,NA,siteDB
sitePW...480,NA,69,NA,sitePW
treatment20C:siteCI5...481,NA,69,NA,treatment20C:siteCI5
treatment20C:siteDB...482,NA,69,NA,treatment20C:siteDB
treatment20C:sitePW...483,NA,69,NA,treatment20C:sitePW
treatment20C...484,-0.626439055,70,1.65E-142,treatment20C
siteCI5...485,NA,70,NA,siteCI5
siteDB...486,NA,70,NA,siteDB
sitePW...487,NA,70,NA,sitePW
treatment20C:siteCI5...488,NA,70,NA,treatment20C:siteCI5
treatment20C:siteDB...489,NA,70,NA,treatment20C:siteDB
treatment20C:sitePW...490,NA,70,NA,treatment20C:sitePW
treatment20C...491,-0.528132417,71,6.53E-95,treatment20C
siteCI5...492,NA,71,NA,siteCI5
siteDB...493,NA,71,NA,siteDB
sitePW...494,NA,71,NA,sitePW
treatment20C:siteCI5...495,NA,71,NA,treatment20C:siteCI5
treatment20C:siteDB...496,NA,71,NA,treatment20C:siteDB
treatment20C:sitePW...497,NA,71,NA,treatment20C:sitePW
treatment20C...498,-0.566558219,72,1.55E-117,treatment20C
siteCI5...499,NA,72,NA,siteCI5
siteDB...500,NA,72,NA,siteDB
sitePW...501,NA,72,NA,sitePW
treatment20C:siteCI5...502,NA,72,NA,treatment20C:siteCI5
treatment20C:siteDB...503,NA,72,NA,treatment20C:siteDB
treatment20C:sitePW...504,NA,72,NA,treatment20C:sitePW
treatment20C...505,-0.386987723,73,2.88E-58,treatment20C
siteCI5...506,NA,73,NA,siteCI5
siteDB...507,NA,73,NA,siteDB
sitePW...508,NA,73,NA,sitePW
treatment20C:siteCI5...509,NA,73,NA,treatment20C:siteCI5
treatment20C:siteDB...510,NA,73,NA,treatment20C:siteDB
treatment20C:sitePW...511,NA,73,NA,treatment20C:sitePW
treatment20C...512,-0.401638726,74,2.42E-67,treatment20C
siteCI5...513,NA,74,NA,siteCI5
siteDB...514,NA,74,NA,siteDB
sitePW...515,NA,74,NA,sitePW
